1.7554    1.8713    3.0000
7.8513    1.7958    2.0000
13.4731    3.9480    1.0000
18.1907    2.0316    1.0000
2.7522    6.3233    1.0000
8.7189    8.6390    1.0000
13.4533    6.7822    2.0000
17.7831    6.0675    2.0000
2.2758   11.9382    2.0000
6.4845   11.5363    3.0000
12.2687   11.2827    2.0000
17.7956   12.4128    3.0000
3.0878   18.0997    2.0000
7.9156   16.1008    3.0000
11.2064   16.9588    1.0000
17.5926   17.9633    3.0000
2.2229   23.4599    1.0000
8.1551   23.9059    3.0000
12.5940   21.9754    3.0000
16.3169   22.8329    1.0000
